Username,Repo_Name,Stars,Repo_URL,Last Update
babel,babel,42600,https://github.com/babel/babel,"Nov 11, 2023"
swc-project,swc,28900,https://github.com/swc-project/swc,"Nov 11, 2023"
nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail,"Nov 24, 2022"
electron-react-boilerplate,electron-react-boilerplate,22100,https://github.com/electron-react-boilerplate/electron-react-boilerplate,"Oct 8, 2023"
SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue,"Jan 14, 2022"
grab,front-end-guide,15000,https://github.com/grab/front-end-guide,"Jun 12, 2023"
jamiebuilds,babel-handbook,11800,https://github.com/jamiebuilds/babel-handbook,"Aug 12, 2023"
developit,htm,8400,https://github.com/developit/htm,"Aug 26, 2023"
grommet,grommet,8300,https://github.com/grommet/grommet,"Nov 10, 2023"
ben-rogerson,twin.macro,7600,https://github.com/ben-rogerson/twin.macro,"Aug 2, 2023"
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack,"Feb 14, 2023"
documentationjs,documentation,5700,https://github.com/documentationjs/documentation,"Oct 31, 2023"
fkling,astexplorer,5700,https://github.com/fkling/astexplorer,"Sep 7, 2023"
insin,nwb,5600,https://github.com/insin/nwb,"Oct 16, 2023"
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs,"Jun 10, 2023"
egoist,poi,5200,https://github.com/egoist/poi,"Dec 6, 2021"
thx,gogocode,4900,https://github.com/thx/gogocode,"Aug 4, 2023"
duxianwei520,react,4900,https://github.com/duxianwei520/react,"Apr 8, 2023"
transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library,"Apr 4, 2023"
babel,babel-loader,4800,https://github.com/babel/babel-loader,"Nov 9, 2023"
